FFT pos         Freq[Hz]            FFT Amp                   BPM
1               0.05682             16.66764               3.4092
2               0.11364             14.8003               6.8184
3               0.17045             19.4485               10.227
4               0.22727             9.37725               13.6362
5               0.28409             15.76982               17.0454
7               0.39773             6.23576               23.8638
8               0.45455             8.12209               27.273
9               0.51136             10.08874               30.6816
10               0.56818             9.09344               34.0908
12               0.68182             6.30414               40.9092
13               0.73864             8.449               44.3184
15               0.85227             7.12536               51.1362
16               0.90909             10.52153               54.5454
19               1.07955             8.35853               64.773
20               1.13636             6.18578               68.1816
21               1.19318             5.707               71.5908
22               1.25             5.5172               75.0
23               1.30682             9.74721               78.4092
24               1.36364             10.66597               81.8184
26               1.47727             6.07806               88.6362
30               1.70455             5.21535               102.273
31               1.76136             5.69002               105.6816
32               1.81818             4.52184               109.0908
35               1.98864             7.41655               119.3184
42               2.38636             5.2626               143.1816
51               2.89773             5.0197               173.8638
52               2.95455             6.66623               177.273
65               3.69318             4.9704               221.5908
66               3.75             4.40736               225.0
72               4.09091             4.41044               245.4546
78               4.43182             4.31752               265.9092
83               4.71591             4.44441               282.9546
84               4.77273             4.33747               286.3638
88               5.0             4.27985               300.0
